procedure_name	procedure_mode	annotation_source	facade	config_type	result_type	algorithm_family	estimate_method	memory_estimation_status	output_artifact	support_tier	unsupported_reason	confidence	falsifier
gds.beta.pipeline.nodeClassification.predict.stream.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineStreamProc.java:50	facade.pipelines	Map<String,Object> configuration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.predict.write	WRITE	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineWriteProc.java:41	facade.pipelines	Map<String,Object> configuration	Stream<WriteResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.predict.write.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineWriteProc.java:50	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.selectFeatures	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddStepProcs.java:48	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.train	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineTrainProc.java:38	facade.pipelines	Map<String,Object> configuration	Stream<NodeClassificationPipelineTrainResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Model artifact plus training metrics	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.train.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineTrainProc.java:47	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.mutate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsMutateProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.mutate.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsMutateProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.stats	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsStatsProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<StandardStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.stats.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsStatsProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsStreamProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<BfsStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bfs.stream.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/BfsStreamProc.java:50	facade.algorithms	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.mutate	MUTATE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityMutateSpec.java:34	AlgorithmSpec loaded by procedure-collector	HarmonicCentralityMutateConfig	AlgorithmSpec class HarmonicCentralityMutateSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.mutate	READ	proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityMutateProc.java:39	facade.algorithms	Map<String,Object> configuration	Stream<CentralityMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.stats	STATS	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStatsSpec.java:34	AlgorithmSpec loaded by procedure-collector	HarmonicCentralityStatsConfig	AlgorithmSpec class HarmonicCentralityStatsSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.stats	READ	proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStatsProc.java:39	facade.algorithms	Map<String,Object> configuration	Stream<CentralityStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.stream	READ	proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStreamProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<CentralityStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.harmonic.write	WRITE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityWriteSpec.java:34	AlgorithmSpec loaded by procedure-collector	HarmonicCentralityWriteConfig	AlgorithmSpec class HarmonicCentralityWriteSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Neo4j write-back or export side effect	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.mutate	MUTATE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/ClosenessCentralityMutateSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityMutateConfig	AlgorithmSpec class ClosenessCentralityMutateSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.stats	STATS	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/ClosenessCentralityStatsSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityStatsConfig	AlgorithmSpec class ClosenessCentralityStatsSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/ClosenessCentralityStreamSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityStreamConfig	AlgorithmSpec class ClosenessCentralityStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.closeness.write	WRITE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/ClosenessCentralityWriteSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityWriteConfig	AlgorithmSpec class ClosenessCentralityWriteSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Neo4j write-back or export side effect	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.collapsePath.mutate	MUTATE_RELATIONSHIP	algorithm-specifications/src/main/java/org/neo4j/gds/walking/CollapsePathMutateSpec.java:36	AlgorithmSpec loaded by procedure-collector	CollapsePathConfig	AlgorithmSpec class CollapsePathMutateSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.collapsePath.mutate	READ	proc/misc/src/main/java/org/neo4j/gds/walking/CollapsePathMutateProc.java:40	facade.algorithms	Map<String,Object> configuration	Stream<CollapsePathMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.conductance.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/conductance/ConductanceStreamSpec.java:35	AlgorithmSpec loaded by procedure-collector	ConductanceStreamConfig	AlgorithmSpec class ConductanceStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dag.longestPath.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/longestpath/DagLongestPathStreamSpec.java:38	AlgorithmSpec loaded by procedure-collector	DagLongestPathStreamConfig	AlgorithmSpec class DagLongestPathStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dag.topologicalSort.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/topologicalsort/TopologicalSortStreamSpec.java:38	AlgorithmSpec loaded by procedure-collector	TopologicalSortStreamConfig	AlgorithmSpec class TopologicalSortStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.debug.sysInfo	READ_DEFAULT	proc/sysinfo/src/main/java/org/neo4j/gds/SysInfoProc.java:63	Neo4j procedure facade or local method	Procedure parameters	Stream<DebugValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dfs.mutate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/DfsMutateProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dfs.mutate.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/DfsMutateProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dfs.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/DfsStreamProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<DfsStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.dfs.stream.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/traverse/DfsStreamProc.java:50	facade.algorithms	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.adjacencyPackingStrategy	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:44	facade.operations	adjacencyPackingStrategy, enableAdjacencyCompressionMemoryTracking, useReorderedAdjacencyList	Stream<FeatureStringValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.adjacencyPackingStrategy.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:72	facade.operations	Procedure parameters	Stream<FeatureStringValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.enableAdjacencyCompressionMemoryTracking	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:51	facade.operations	enableAdjacencyCompressionMemoryTracking, useReorderedAdjacencyList, pagesPerThread	Stream<FeatureStringValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.enableAdjacencyCompressionMemoryTracking.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:79	facade.operations	Procedure parameters	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.enableArrowDatabaseImport	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:58	facade.operations	useReorderedAdjacencyList, pagesPerThread	Stream<FeatureStringValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.enableArrowDatabaseImport.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:86	facade.operations	Procedure parameters	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.pagesPerThread	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:65	facade.operations	pagesPerThread	Stream<FeatureStringValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.pagesPerThread.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:93	facade.operations	Procedure parameters	Stream<FeatureLongValue>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useMixedAdjacencyList	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:128	facade.operations	useMixedAdjacencyList, usePackedAdjacencyList, useReorderedAdjacencyList	void	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useMixedAdjacencyList.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:100	facade.operations	Procedure parameters	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.usePackedAdjacencyList	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:135	facade.operations	usePackedAdjacencyList, useReorderedAdjacencyList, useUncompressedAdjacencyList	void	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.usePackedAdjacencyList.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:107	facade.operations	Procedure parameters	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useReorderedAdjacencyList	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:142	facade.operations	useReorderedAdjacencyList, useUncompressedAdjacencyList	void	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useReorderedAdjacencyList.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:114	facade.operations	useMixedAdjacencyList	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useUncompressedAdjacencyList	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:149	facade.operations	useUncompressedAdjacencyList	void	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.features.useUncompressedAdjacencyList.reset	READ_DEFAULT	proc/misc/src/main/java/org/neo4j/gds/FeatureToggleProc.java:121	facade.operations	useMixedAdjacencyList, usePackedAdjacencyList	Stream<FeatureState>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Internal surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.deleteRelationships	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropRelationshipProc.java:50	facade.graphCatalog	graphName, relationshipType	Stream<GraphDropRelationshipResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.drop	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropProc.java:45	facade.graphCatalog	graphName, failIfMissing, dbName, username	Stream<GraphInfo>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.exists	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphExistsProc.java:42	facade.graphCatalog	graphName	Stream<GraphExistsResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.export	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:44	facade.graphCatalog	Map<String,Object> configuration	Stream<DatabaseExportResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.export.csv	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:67	facade.graphCatalog	Map<String,Object> configuration	Stream<FileExportResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.export.csv.estimate	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:90	facade.graphCatalog	Map<String,Object> configuration	Stream<MemoryEstimateResult>	graph_catalog	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.filter	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphFilterProc.java:41	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphFilterResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.generate	READ	proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java:59	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphGenerationStats>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.graphProperty.drop	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java:56	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphDropGraphPropertiesResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.graphProperty.stream	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamGraphPropertiesProc.java:61	facade.graphCatalog	Map<String,Object> configuration	Stream<StreamGraphPropertyResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.list	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphListProc.java:47	facade.graphCatalog	graphName	Stream<GraphInfoWithHistogram>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeLabel.mutate	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java:39	facade.graphCatalog	Map<String,Object> configuration	Stream<MutateLabelResult>	graph_catalog	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeLabel.write	WRITE	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java:40	facade.graphCatalog	Map<String,Object> configuration	Stream<WriteLabelResult>	graph_catalog	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeProperties.drop	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropNodePropertiesProc.java:42	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphDropNodePropertiesResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeProperties.stream	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java:43	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphStreamNodePropertiesResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeProperties.write	WRITE	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodePropertiesProc.java:41	facade.graphCatalog	Map<String,Object> configuration	Stream<NodePropertiesWriteResult>	graph_catalog	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.graph.nodeProperty.stream	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java:86	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphStreamNodePropertyResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
